text,url
Rieslings are great to age in your cellar. Their backbone of acidity makes them the perfect bottle to lie down and open after 15 or 20+ years!,http://wineroutes.eu
"Malbec is a grape that is one of the originals of the Bordeaux blend from France. It is not a ‘new’ grape as some suspect, but Argentina has certainly claimed it as its signature red!",http://wineroutes.eu
"Pinotage is the signature red grape variety from South Africa. Although not easy to find, when you do find one you like, you’ll fall in love and share it with friends!",http://wineroutes.eu
Gewurztraminer and Viognier are very aromatic wines with lots of floral and perfume aromas. These two are hits for many females – just in case you need a hint as to what to bring to or order on a date!,http://wineroutes.eu
"When you’re ordering wine at a restaurant, instead of flipping through the wine list and trying to figure out what you want to order, ask for the Sommelier and tell them what style of wine you’re looking for and what your budget is. You’ll look like a pro, and save time and money!",http://wineroutes.eu
"Zinfandel is the grape of California. It can make the pink zinfandel that made the California wine industry, and it can also make big, bold and full-bodied red wines. A must try!",http://wineroutes.eu
An oak barrel can cost anywhere from $1000-$1500.,http://wineroutes.eu
The Vidal grape is the most popular grape used for Icewine. It has strong skins that protect it from the harsh Canadian winters.,http://wineroutes.eu
"Beaujolais is an area in Burgundy, France, and the red grape that is grown in that area is Gamay. It is light and fruity and is a “red wine for the white wine drinker” because most of the wines are not aged in oak and are friendly on the palate.",http://wineroutes.eu
There is a winery in every state in the USA.,http://wineroutes.eu
Thomas Jefferson selected wine for the first five presidents.,http://wineroutes.eu
White wine gets darker with age and red wine gets lighter with age.,http://wineroutes.eu
"When it comes to describing body of a wine, you could describe it as light, medium or full-bodied.",http://wineroutes.eu
"The word Meritage is said like ‘heritage,’ and means that the wine is a blend of Bordeaux grape varieties.",http://wineroutes.eu
"When pairing wine and food, always pair the weight of the wine with the weight of the food – when all else fails, pair local wines with local flavours!",http://wineroutes.eu
"Love Icewine, but never finish a whole bottle? Blend your Icewine with vodka and serve as a martini; it’s great for holidays and the perfect way to entertain guests.",http://wineroutes.eu
"Wine is such a great industry that celebrities like Francis Ford Coppola, Wayne Gretzky, Mike Weir, and Greg Norman among others have gotten involved all over the world!",http://wineroutes.eu
"Being confident about wine is a great business asset, life skill, and conversation piece! So start sipping!",http://wineroutes.eu
"Though you’ll commonly hear grapes referred to as “fruit,” botanists technically classify grapes as berries since each fruit forms from a single flower.",http://wineroutes.eu
"Researchers believe grapes have existed for around 65 million years, and that some of the grape varieties enjoyed by us today are directly descended from these primordial fruit.",http://wineroutes.eu
"Humans have been cultivating grapes for 8,000 years—since before recorded history. Archeologists believe the first grapes were grown in Eastern Europe and the fruit spread from there.",http://wineroutes.eu
The Romans are believed to be the first to call different grape varieties by different names.,http://wineroutes.eu
"There are more than 8,000 grape varieties known to scientists, and more than 1,300 varieties are currently used to make wine around the world.",http://wineroutes.eu
The grapes at the supermarket—known as table grapes—have much thinner skin and far more seeds than the varieties used to make wine.,http://wineroutes.eu
"Vineyards cover roughly 7.5 million hectares (almost 18 million acres) across the globe, with Spain, China, France, Italy, Turkey, and the United States being the top grape growing countries.",http://wineroutes.eu
"The largest wine producers, however, are France, Italy, Spain, the U.S., and Argentina. France produced 1.2 billion gallons of wine in 2014, according to statistics from The Wine Institute, a trade group. The U.S. produced just over 830 million gallons.",http://wineroutes.eu
"In general, the color of wine comes from the grapes used. Reds are usually made from purple or blue grapes, while whites are made from greener grapes.",http://wineroutes.eu
"When fermenting red wine, winemakers usually include the skin and other parts of the fruit along with the wine juice, causing the wine to taste bolder and look darker. White wines are made from only the fruit juice.",http://wineroutes.eu
"The majority of white wines are lighter and have a crisper, more citrusy flavor compared to reds.",http://wineroutes.eu
Research shows that white wines keep lung tissues healthy.,http://wineroutes.eu
White wines generally have less alcohol and fewer calories than reds.,http://wineroutes.eu
Red wine should be served in glasses with a larger bowl so the bold aromas and flavors can emerge through mingling with oxygen in the air.,http://wineroutes.eu
"Wines aren’t just red or white: some unique wines are golden, pink, or even orange.",http://wineroutes.eu
"The region where a grape is grown is an important determining factor in how the wine turns out. Soil nutrients, the amount of sunshine, temperature variations, and the amount of moisture, fog, and other conditions deeply affects a wine’s flavor.",http://wineroutes.eu
"Grapes grown in sandy soil usually produce less acidic, “softer” wine. Soils with a lot of clay produce wines with deep, bold flavors.",http://wineroutes.eu
"Loamy soils, which are usually preferred for growing most plants, actually produce rather flavorless wines.",http://wineroutes.eu
"Grapes grown in warmer climates, like the Napa Valley, are usually more ripe when picked, making for sweeter wines.",http://wineroutes.eu
"Grapes grown in cooler climates, like the Chablis region in France, will be tarter.",http://wineroutes.eu
"Wine regions dot the entire U.S., but the states of California, Washington, and New York lead the country in wine production.",http://wineroutes.eu
"California is the fourth-largest wine producer in the world, just behind France, Italy, and Spain.",http://wineroutes.eu
"While sparkling wine, meaning a wine with carbon dioxide bubbles, can be grown anywhere, only sparkling wine grown in the Champagne region of northeast France can be called Champagne.",http://wineroutes.eu
"Although winemakers will claim a wine has certain flavors like blueberries, citrus, or even dirt, wines aren’t actually “flavored” with anything. The flavors come from the grapes and the process. Infused wines, meaning wines that have been mixed with other fruit juices, are actually flavored.",http://wineroutes.eu
"The first stage of wine tasting is looking over the appearance of the wine. Noting the color and viscosity with your eyes can give an idea of how the wine may taste. For reds, give the glass a quick swirl and hold it up to the light: bolder varieties, like Cabernet and Zinfandel, will leave telltale ‘legs’ that stream down the inside of the glass.",http://wineroutes.eu
"The second stage is called “in glass,” meaning that the aroma is noted. Don’t be shy— wine experts stick their nose deep into the glass in order to pick up the complex nuances.",http://wineroutes.eu
"The first aromas to hit the nose are associated with aspects of the grapes, while later aromas are connected to the winemaking process and how the wine aged.",http://wineroutes.eu
"Take a small sip of wine in order to get a good taste. Don’t glug, at least not yet. Roll the wine around your mouth with your tongue and note the different flavors. Pursing your lips and inhaling some air while the wine is still on your palate is also a nice way to spread the more complex flavors through your sinuses.",http://wineroutes.eu
"After swallowing, note the aftertaste, which is likely different from how the wine tasted when it first hit your tongue.",http://wineroutes.eu
Draw some conclusions—was this wine too acidic? Too sweet? Too alcoholic?,http://wineroutes.eu
"If you want to be a true connoisseur, write down notes. Record the winery, the grape variety, the year, and your thoughts: that way, if you want to return to the same vintage later, you’ll have a solid base point for how your tastes have evolved.",http://wineroutes.eu
"Red wines should be served in wider glassware to support oxidation, which subtly supports flavor. White wines can be overpowered by oxidation, so serve in taller, less rounded glasses.",http://wineroutes.eu
"Wine is famous for complimenting food, and different wines pair well with different meals. In very broad terms, white wines pair better with fish, poultry, and vegetables; reds go better with red meat.",http://wineroutes.eu
Sparkling and dessert wines generally go best with—you guessed it—sweet foods.,http://wineroutes.eu
Some wineries will print food suggestions on the wine’s label.,http://wineroutes.eu
"Fine-dining tradition calls for starting with lighter wines, like a Sauvignon Blanc, and then moving to heavier wines with bolder flavors, like a Sangiovese, throughout the course of the meal.",http://wineroutes.eu
"As a general rule, white wines should be served before reds; younger wines should be served before older vintages; and dry wines should be served sweeter ones.",http://wineroutes.eu
"White wine should be served at 45-50 degrees Fahrenheit, while red wines should be served slightly warmer, at 50-60 degrees Fahrenheit. A good rule of thumb is to put a bottle of red wine into a refrigerator 20 minutes before opening it, and removing a bottle of white from the fridge 20 minutes before serving.",http://wineroutes.eu
"To be fully appreciated, sparkling wines should be thoroughly chilled to 43-48 degrees Fahrenheit. Invest in a Champagne bucket, fill it with ice, and dunk the whole bottle in (don’t ever open a warm bottle of bubbly).",http://wineroutes.eu
